phrase,paper_count,word_count
computer search,138,2
extremal combinatoric,138,2
power graph,137,2
closed neighborhood,137,2
quantum walk,137,2
random hypergraph,137,2
forcing number,137,2
signed permutation,136,2
toric ideal,136,2
even order,136,2
permutation matrix,136,2
make progres,136,2
order ideal,136,2
very simple,136,2
graph embedded,135,2
group act,135,2
set theory,135,2
free group,135,2
phylogenetic network,134,2
linear system,134,2
bounded maximum degree,134,3
hamming distance,134,2
ideal generated,133,2
distinct element,133,2
still open,133,2
directed acyclic graph,133,3
total domination,133,2
type theorem,132,2
enumerative combinatoric,132,2
double cover,132,2
unit interval,132,2
positive semidefinite,132,2
lie group,132,2
transition matrix,131,2
geometric interpretation,131,2
sparse random graph,131,3
topological space,130,2
vice versa,130,2
linear program,130,2
complex reflection,130,2
minkowski sum,129,2
path graph,129,2
threshold graph,129,2
euclidean plane,129,2
johnson graph,129,2
affine type,129,2
erdos-ko-rado theorem,128,2
fixed-parameter tractable,128,2
der waerden,128,2
schubert class,128,2
unit sphere,127,2
matroid theory,127,2
positive real,127,2
permutation statistic,127,2
larger class,127,2
graph introduced,127,2
symmetry group,127,2
hook length,127,2
binary word,127,2
finite projective,127,2
laplacian spectral,126,2
perfect code,126,2
star graph,126,2
sharp lower bound,126,3
strong product,126,2
four vertex,125,2
statistical mechanic,125,2
discrete geometry,125,2
smallest positive,125,2
expander graph,125,2
chebyshev polynomial,124,2
theoretical computer,124,2
theoretical computer science,124,3
spectral graph,124,2
building block,124,2
maximum spectral,124,2
cover number,123,2
partition identity,123,2
square grid,123,2
maximum spectral radius,123,3
maximal clique,123,2
complex reflection group,123,3
error term,123,2
connected cubic,122,2
probability theory,122,2
flag manifold,122,2
domino tiling,122,2
linear function,122,2
complete partite graph,122,3
degenerate graph,122,2
order complex,122,2
resulting graph,122,2
fourier transform,122,2
edge length,122,2
inner product,121,2
probability space,121,2
complex network,121,2
randomized algorithm,121,2
state-of-the art,121,2
column sum,121,2
minimum value,121,2
tropical curve,121,2
coordinate ring,121,2
ising model,120,2
simple random,120,2
block design,120,2
van der waerden,120,3
projective geometry,119,2
distance graph,119,2
alternating group,119,2
graph polynomial,119,2
binary matroid,119,2
geometric realization,119,2
fourier analysi,119,2
correlation function,118,2
simple lie,118,2
independence complex,118,2
resolving set,118,2
integer matrix,118,2
integer linear,118,2
bootstrap percolation,118,2
elementary symmetric,118,2
simple formula,118,2
summation formula,118,2
even though,117,2
critical point,117,2
ordered pair,117,2
information theory,117,2
affine space,117,2
sturmian word,117,2
degree graph,117,2
riemann surface,117,2
regular bipartite,117,2
characteristic zero,116,2
affine weyl,116,2
connected planar,116,2
asymptotic enumeration,116,2
minor-free graph,116,2
fixed size,116,2
discrete morse theory,116,3
hyperoctahedral group,115,2
littlewood-richardson coefficient,115,2
social network,115,2
metric graph,115,2
graph laplacian,115,2
subcubic graph,115,2
spanning forest,115,2
ribbon graph,115,2
fixed positive,115,2
mixed graph,115,2
simple polytope,114,2
acyclic orientation,114,2
lie type,114,2
incidence graph,114,2
graph process,114,2
semidefinite programming,114,2
tight lower bound,114,3
graph limit,114,2
distinct eigenvalue,113,2
weighted sum,113,2
powerful tool,113,2
group generated,113,2
finite geometry,113,2
covering number,113,2
hypergeometric function,113,2
turan density,113,2
tamari lattice,113,2
proper edge,113,2
hausdorff dimension,113,2
vertex free graph,112,3
self-dual code,112,2
real root,112,2
spectral graph theory,112,3
dual graph,112,2
machine learning,112,2
high dimensional,112,2
maximum matching,111,2
stationary distribution,111,2
newton polytope,111,2
irreducible module,111,2
affine weyl group,111,3
term arithmetic,111,2
colored graph,111,2
irreducible component,111,2
laplacian spectral radius,110,3
modular form,110,2
even integer,110,2
proper subset,110,2
dimensional simplicial,110,2
term arithmetic progression,110,3
proper vertex,110,2
total domination number,110,3
random uniform,110,2
particular class,110,2
roughly speaking,110,2
algebraic group,110,2
convex polygon,110,2
harmonic number,109,2
strong form,109,2
matrix theory,109,2
chord diagram,109,2
polar space,109,2
computer algebra,109,2
finite family,109,2
optimal bound,109,2
skew shape,109,2
riordan array,109,2
lovasz local,109,2
ramsey theorem,108,2
central role,108,2
symmetric difference,108,2
simple random walk,108,3
nilpotent group,108,2
perfect state,108,2
ehrhart theory,108,2
complete uniform,108,2
total positivity,107,2
totally nonnegative,107,2
take turn,107,2
finite connected graph,107,3
marked point,107,2
graph minor,107,2
permutation graph,107,2
point configuration,107,2
connected regular,107,2
perfect state transfer,107,3
lozenge tiling,106,2
algebraic variety,106,2
regular tree,106,2
game theory,106,2
algebraically closed,106,2
point process,106,2
hereditary class,105,2
matrix model,105,2
differential operator,105,2
kazhdan-lusztig polynomial,105,2
grobner basis,105,2
limit shape,105,2
projective line,105,2
uniformly distributed,105,2
independence polynomial,104,2
path cycle,104,2
polyhedral cone,104,2
quantum group,104,2
connected bipartite,104,2
hitting time,104,2
reduced word,104,2
smallest positive integer,104,3
hasse diagram,104,2
asymptotic distribution,104,2
exponential growth,104,2
castelnuovo-mumford regularity,104,2
basi element,103,2
simple lie algebra,103,3
transitive graph,103,2
empty graph,103,2
prime order,103,2
logarithmic factor,103,2
connected simple,103,2
permutation class,103,2
fourier coefficient,103,2
quasi-symmetric function,102,2
equivariant cohomology,102,2
series identity,102,2
local limit,102,2
closed field,102,2
distinct distance,102,2
cell complex,102,2
asymptotic bound,102,2
zagreb index,102,2
constraint satisfaction,102,2
odd length,102,2
normalized laplacian,102,2
connection number,102,2
time step,102,2
polynomial algorithm,101,2
unit square,101,2
increasing subsequence,101,2
finite sequence,101,2
long cycle,101,2
tree decomposition,101,2
group element,101,2
difference operator,100,2
bell number,100,2
limit law,100,2
vertex edge,100,2
hermitian matrix,100,2
signles laplacian spectral,99,3
line arrangement,99,2
exclusion process,99,2
elliptic curve,99,2
littlewood-richardson rule,99,2
maximum weight,99,2
line bundle,99,2
random geometric,99,2
plane curve,99,2
better bound,99,2
series expansion,99,2
cellular automaton,99,2
vertex operator,98,2
excluded minor,98,2
zeta value,98,2
total dominating,98,2
bipartite subgraph,98,2
distinct point,98,2
bernoulli number,98,2
bounded degree graph,98,3
recognition algorithm,98,2
graphic matroid,97,2
weight distribution,97,2
graph formed,97,2
ary tree,97,2
alternating sum,97,2
stanley-reisner ring,97,2
passing through,97,2
even length,97,2
vertex model,97,2
complete uniform hypergraph,97,3
directed edge,97,2
best bound,96,2
poincare polynomial,96,2
parabolic subgroup,96,2
blocking set,96,2
dynkin diagram,96,2
erdos-renyi graph,96,2
linear algebraic,96,2
distance set,96,2
steiner system,96,2
cyclic sieving,96,2
complete subgraph,96,2
orthogonal array,96,2
wide class,96,2
unitary group,95,2
fixed set,95,2
cycle length,95,2
total weight,95,2
dimensional simplicial complex,95,3
triangular matrix,95,2
close connection,95,2
signles laplacian matrix,95,3
block size,95,2
core partition,95,2
signles laplacian spectral radius,94,4
orthogonal group,94,2
hilbert space,94,2
complex plane,94,2
dimensional polytope,94,2
edge probability,94,2
rank function,94,2
ramanujan graph,94,2
bounded away,94,2
prime factor,94,2
dynamic programming,94,2
complex projective,94,2
long-standing open,94,2
embedded graph,94,2
traveling salesman,94,2
random set,94,2
difference equation,94,2
nonnegative matrix,94,2
zero forcing number,94,3
invariant theory,94,2
singular value,93,2
complete solution,93,2
equitable partition,93,2
congruence modulo,93,2
maximum average,93,2
bilinear form,93,2
positive root,93,2
chromatic graph,93,2
wheel graph,93,2
radius among,93,2
regular partition,93,2
cop number,93,2
minor-closed class,93,2
maximum distance,93,2
elementary abelian,93,2
polynomial equation,93,2
complete set,93,2
approximation ratio,93,2
order polytope,93,2
linear map,93,2
sidon set,92,2
pott model,92,2
basic hypergeometric,92,2
hilbert scheme,92,2
finite simple group,92,3
roman domination,92,2
edge colouring,92,2
polynomial invariant,92,2
isoperimetric inequality,92,2
stronger version,92,2
straight line,92,2
convex geometry,92,2
regular bipartite graph,92,3
fixed positive integer,92,3
minimum vertex,91,2
weight enumerator,91,2
asymptotic estimate,91,2
normal subgroup,91,2
total dominating set,91,3
saturation number,91,2
graph must,91,2
descent set,91,2
neural network,91,2
colorable graph,91,2
simple algorithm,91,2
edge-connected graph,91,2
partition lattice,90,2
type identity,90,2
integral representation,90,2
graph among,90,2
multiple zeta,90,2
dimensional euclidean,90,2
single edge,90,2
algebraically closed field,90,3
hereditary graph,90,2
rainbow copy,90,2
laplacian spectrum,90,2
free probability,90,2
np-complete even,90,2
inversion formula,90,2
finite cyclic,90,2
euler number,90,2
cohomology group,90,2
longest path,90,2
distinct prime,89,2
coxeter element,89,2
monte carlo,89,2
brownian motion,89,2
height function,89,2
fibonacci sequence,89,2
canonical form,89,2
error-correcting code,89,2
crucial role,89,2
internal vertex,89,2
unit distance,89,2
uniform matroid,89,2
distinguishing number,89,2
random geometric graph,89,3
pieri rule,89,2
specific graph,89,2
simply connected,89,2
partial flag,89,2
asymptotically sharp,89,2
finite word,89,2
row sum,89,2
positive characteristic,88,2
hankel determinant,88,2
dimer model,88,2
incidence geometry,88,2
broad class,88,2
graph attaining,88,2
maximum average degree,88,3
number denoted,88,2
linear forest,88,2
spectral radius among,88,3
proper vertex coloring,88,3
labeled tree,88,2
host graph,88,2
connected digraph,88,2
act transitively,88,2
simplicial polytope,88,2
random uniform hypergraph,88,3
euclidean distance,88,2
kronecker product,87,2
spherical design,87,2
random matrix theory,87,3
aztec diamond,87,2
number field,87,2
inverse theorem,87,2
nowhere-zero flow,87,2
incident edge,87,2
hilbert function,87,2
symmetric design,87,2
free energy,87,2
connected vertex,87,2
edge connectivity,87,2
symplectic group,87,2
linear transformation,87,2
extremal set,87,2
fractional chromatic,87,2
scattering amplitude,87,2
totally positive,87,2
asymptotically best,87,2
linear operator,87,2
kronecker coefficient,86,2
exact solution,86,2
maximal chain,86,2
hall-littlewood polynomial,86,2
longest cycle,86,2
explicitly compute,86,2
asymptotic analysi,86,2
linear subspace,86,2
critical exponent,86,2
packing number,86,2
skew schur,86,2
closed walk,86,2
ordered graph,86,2
length four,86,2
binary matrix,86,2
maximum clique,85,2
smallest size,85,2
non-adjacent vertex,85,2
partial sum,85,2
dimensional space,85,2
degree vertex,85,2
highly symmetric,85,2
pairwise distinct,85,2
dominating function,85,2
color theorem,85,2
vertex connected,85,2
coxeter system,85,2
asymptotic growth,84,2
associative algebra,84,2
objective function,84,2
multivariate polynomial,84,2
dimensional euclidean space,84,3
convex position,84,2
random edge,84,2
provide bound,84,2
linear hypergraph,84,2
graded algebra,84,2
additional assumption,84,2
locally finite graph,84,3
vertex connectivity,84,2
corona product,84,2
model theory,84,2
provide upper,84,2
proper edge coloring,84,3
minimal element,84,2
original graph,84,2
power law,84,2
semistandard young,83,2
noncommutative symmetric,83,2
algebra appl,83,2
transfer matrix,83,2
longest increasing,83,2
self-avoiding walk,83,2
rational polytope,83,2
linear time algorithm,83,3
non-bipartite graph,83,2
random subset,83,2
random subgraph,83,2
linear resolution,83,2
diophantine equation,83,2
bell polynomial,83,2
centrally symmetric,83,2
turan graph,82,2
arbitrarily long,82,2
jack polynomial,82,2
semistandard young tableau,82,3
noncommutative symmetric function,82,3
linear algebra appl,82,3
matroid polytope,82,2
fixed finite,82,2
paley graph,82,2
fundamental theorem,82,2
discrete appl,82,2
quantum state,82,2
six vertex,82,2
sieving phenomenon,82,2
list chromatic,82,2
lattice walk,82,2
braid group,82,2
knot theory,81,2
spectral theory,81,2
partition theorem,81,2
inhomogeneous random,81,2
maximal size,81,2
explicitly construct,81,2
connected planar graph,81,3
quantum cohomology,81,2
graph excluding,81,2
random point,81,2
fixed dimension,81,2
highly connected,81,2
finite cyclic group,81,3
finite sum,81,2
integer program,81,2
vertex partition,81,2
projective dimension,81,2
extremal number,81,2
multiple edge,81,2
graph constructed,81,2
unit cube,80,2
unit circle,80,2
square root,80,2
binary sequence,80,2
unified framework,80,2
fixed degree,80,2
finite point,80,2
binomial edge,80,2
prime field,80,2
polynomial bound,80,2
upper triangular,80,2
connected simple graph,80,3
forcing set,80,2
matching polynomial,80,2
minimal free,80,2
asymptotic value,80,2
graph theoretical,80,2
additive group,80,2
symmetric graph,80,2
hamiltonian graph,79,2
homogeneous polynomial,79,2
n-vertex graph,79,2
topological minor,79,2
colour class,79,2
binomial edge ideal,79,3
datum analysi,79,2
hamming weight,79,2
non-empty subset,79,2
extremal function,79,2
fractional chromatic number,79,3
real symmetric,79,2
cyclic sieving phenomenon,79,3
configuration model,79,2
connected cubic graph,78,3
low degree,78,2
jone polynomial,78,2
