phrase,paper_count,word_count
bounded degree,398,2
phylogenetic,397,1
formulate,396,1
detailed,395,1
total number,395,2
finite abelian,395,2
unitary,394,1
refine,394,1
knowledge,394,1
erdos-renyi,394,1
extensively,393,1
encoding,392,1
translation,391,1
smallest number,391,2
ground,390,1
meet,390,1
turan number,389,2
replacing,389,1
specialization,388,1
multipartite,388,1
shift,388,1
isolated vertex,387,2
until,387,1
circular,387,1
branching,386,1
relaxation,386,1
again,386,1
bruhat,386,1
generation,385,1
laplacian matrix,385,2
orientable,384,1
integer partition,384,2
disprove,384,1
hereditary,383,1
power series,383,2
derivation,382,1
hecke,382,1
random matrix,381,2
unbounded,381,1
finite abelian group,381,3
ary,381,1
bounding,380,1
performance,380,1
interaction,380,1
rigid,379,1
representing,379,1
partial order,379,2
edge-coloring,379,1
mod,378,1
testing,377,1
add,377,1
linear code,376,2
technical,375,1
numerou,374,1
concern,374,1
affirmative,374,1
involved,373,1
strongly regular,373,2
mainly,372,1
essential,372,1
decade,372,1
complete characterization,372,2
avoidance,371,1
win,371,1
circulant,371,1
understand,371,1
former,371,1
surely,370,1
translate,370,1
task,370,1
trace,370,1
modification,369,1
metric space,369,2
effect,368,1
exceptional,368,1
ensure,368,1
practical,368,1
odd prime,368,2
subclas,368,1
monomial ideal,366,2
tensor product,366,2
remarkable,366,1
attain,365,1
perform,365,1
residue,363,1
classified,363,1
association,363,1
iterated,363,1
hierarchy,361,1
spread,361,1
winning,361,1
hamiltonian cycle,361,2
create,361,1
zhang,361,1
hook,360,1
equipped,360,1
rigidity,359,1
objective,359,1
shifted,358,1
know,358,1
partitioning,358,1
seymour,357,1
polyhedra,357,1
despite,357,1
summation,356,1
source,355,1
assign,355,1
crucial,355,1
vanishing,354,1
poisson,354,1
byproduct,353,1
moduli space,353,2
endpoint,352,1
heuristic,352,1
minimize,352,1
cohen-macaulay,351,1
edge-disjoint,351,1
properly,350,1
amount,350,1
own,350,1
internal,350,1
polynomial ring,349,2
bolloba,349,1
exception,348,1
mobius,348,1
fixed number,348,2
noncommutative,347,1
compatible,347,1
expectation,347,1
greedy,347,1
signed graph,347,2
bernoulli,346,1
remark,345,1
color class,345,2
smallest integer,345,2
unlike,344,1
typically,344,1
automaton,344,1
computer science,343,2
review,343,1
formulated,343,1
twisted,342,1
motivation,342,1
tutte polynomial,342,2
permutation group,342,2
oriented graph,342,2
analyzing,342,1
proper coloring,342,2
triangle-free graph,342,2
bundle,341,1
young diagram,341,2
rooted tree,341,2
asymmetric,340,1
marked,340,1
hermitian,340,1
linear algebra,339,2
neither,339,1
roughly,339,1
fold,338,1
neighbour,338,1
strict,338,1
forcing,338,1
implementation,338,1
distinguished,337,1
onto,337,1
running,337,1
span,336,1
linear time,336,2
limit theorem,336,2
sample,336,1
suffice,336,1
light,336,1
shuffle,335,1
stirling number,335,2
communication,335,1
manner,335,1
eigenvector,334,1
little,334,1
intersection graph,334,2
aforementioned,334,1
though,333,1
begin,333,1
odd cycle,333,2
vertex-disjoint,333,1
attempt,333,1
rational function,332,2
symbolic,332,1
obstruction,332,1
coming,331,1
lexicographic,331,1
maximize,331,1
petersen,331,1
finite simple,330,2
extreme,330,1
tractable,329,1
employ,329,1
convolution,329,1
reverse,329,1
toric variety,328,2
latin square,328,2
nilpotent,328,1
green,328,1
down,328,1
derivative,327,1
output,327,1
back,327,1
partially ordered,326,2
nor,326,1
whole,326,1
notably,326,1
etc,326,1
deleting,326,1
tile,325,1
dihedral,325,1
mutually,325,1
prior,325,1
highest,324,1
set partition,324,2
randomized,324,1
edge-colored,324,1
computational complexity,324,2
signles,323,1
convex polytope,323,2
evolution,323,1
period,323,1
continued,322,1
determinantal,322,1
serve,322,1
too,322,1
separation,322,1
suggested,321,1
indicate,321,1
piece,320,1
claim,320,1
final,319,1
edge coloring,319,2
center,319,1
appeared,318,1
rotation,318,1
behave,318,1
euler characteristic,317,2
particle,317,1
divide,317,1
shortest path,317,2
coloured,317,1
complete classification,316,2
contraction,316,1
attained,316,1
subalgebra,315,1
approximately,315,1
non-isomorphic,315,1
future,315,1
liu,314,1
unify,314,1
sparse graph,314,2
association scheme,314,2
red,314,1
motzkin,313,1
